id,Name,Artists,,started,Address,Notes,Commisioned,District,transform,images,location
m0033,,WYLAND,WYLAND,10/13/1997,"10 Witherell Street, Detroit,MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0033,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0033.jpg,
m0034,,SUMMER IN THE CITY,SUMMER IN THE CITY,9/22/2016,"350 Madison Street, Detroit, MI",behind the building,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0034,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0034.jpg,
m0036,,"CARL OXLEY III,MARK SENGBUSCH","CARL OXLEY III,MARK SENGBUSCH",7/22/2007,"3445 Joseph Campau Ave
Detroit, MI 48207",Painted by Summer in the City,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0036,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0036.jpg,
m0037,,SINTEX,SINTEX,1/22/2013,"8100 Grand River, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0037,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0037.jpg,
m0038,,SAM PHILLIPS,SAM PHILLIPS,1/22/2013,"6541 Gratiot, Detroit, MI",,,4,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0038,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0038.jpg,
m0039,,JONNY ALEXANDER,JONNY ALEXANDER,12/22/2017,"12355 Gratiot Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0039,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0039.jpg,
m0040,,"PHIL SIMPSON,TONY RAVE","PHIL SIMPSON,TONY RAVE",9/22/2017,"13560 East McNichols Road, Detroit, MI",,,4,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0040,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0040.jpg,
m0041,,CARL NEILBOCK,CARL NEILBOCK,1/22/2013,"2264 Wilkins Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0041,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0041.jpg,
m0042,,CURTIS LEWIS,CURTIS LEWIS,10/22/1985,"9980 Gratiot Avenue, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0042,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0042.jpg,
m0043,,unknown,unknown,7/22/2017,"5931 Michigan Ave, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0043,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0043.jpg,
m0044,,"SEAN LUGO,SAVAGE HABIT","SEAN LUGO,SAVAGE HABIT",7/22/2017,"3434 Russell Street, Detroit, MI",,,,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0044,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0044.jpg,
