id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0045,,HUSH,9/22/2014,"154 E Grand Ave, Detroit, MI",located in the Belt,,,https://www.dropbox.com/s/ek5si3azs726qdx/m0045.jpg?dl=0,"-83.046451, 42.334557"
m0047,,WC BEVAN,1/22/2013,"Dequindre Cut Greenway, Detroit, MI 48207",,,,https://www.dropbox.com/s/a53buz6onlt19bs/m0047.jpg?dl=0,"-83.033528, 42.343990"
m0048,,FREDDY DIAZ,9/22/2017,"3437 Livernois, Detroit, MI",,,6,https://www.dropbox.com/s/snx1sfncnqn3hg9/m0048.jpg?dl=0,
m0049,,unknown,9/22/2017,"6301 Otis St, Detroit, MI",,,6,https://www.dropbox.com/s/0xmvw97tnapxgig/m0049.jpg?dl=0,
m0050,,unknown,9/22/2017,"3439 Livernois, Detroit, MI",,,6,https://www.dropbox.com/s/5nf2zowsqd66et7/m0050.jpg?dl=0,
m0051,,"DASIC FERN] , [EZ",9/22/2017,"3432 Livernois, Detroit, MI",,,6,https://www.dropbox.com/s/okv727pomoxatkj/m0051.jpg?dl=0,
m0052,,unknown,7/22/2017,"2434 20th Street, Detroit, MI",,,,https://www.dropbox.com/s/829sqm73dthpc9m/m0052.jpg?dl=0,
m0053,,OUIZI,12/1/2014,"8098 Agnes Street, Detroit, MI",,,,https://www.dropbox.com/s/cdieba7axtixlpj/m0053.jpg?dl=0,
m0054,,"FFTY] , [ LAHIZA] , [ ] , [ ZAK MEERS",1/22/2013,"2200 17th Street, Detroit, MI",,,,https://www.dropbox.com/s/00ck8mlnd01jko1/m0054.jpg?dl=0,
m0055,,KYLE DANLEY,10/22/2014,"1600 Clay St, Detroit, MI 48211",,,,https://www.dropbox.com/s/ibkymu2wn4jwg4o/m0055.jpg?dl=0,
m0056,,DETROITLIVES!,9/22/2010,"6499 Brush Street, Detroit, MI",,,,https://www.dropbox.com/s/jolkhr688jbxorj/m0056.jpg?dl=0,
m0057,,"MICHAEL BURDICK ] , [ JAMES NOELLERT",9/22/2015,"5800 Cass Avenue, Detroit, MI",PAINTED BY JORDAN ZIELKE AND KELLY GOLDEN,,,https://www.dropbox.com/s/81qhcm9upmy1kwa/m0057.jpg?dl=0,
m0058,,"ELLEN RUTT] , [ OUIZI ] , [ JONNY ALEX] , [ER",10/22/2016,"4500 Van Dyke, Detroit, MI",,,,https://www.dropbox.com/s/xpr8y6ev27rq7d3/m0058.jpg?dl=0,
m0059,,KOBIE SOLOMON,10/22/2010,"1600 Clay Avenue, Detroit, MI",,,,https://www.dropbox.com/s/yi4r5r5w8boji37/m0059.jpg?dl=0,
m0060,,MALT,1/22/2013,"6398 Russell Street, Detroit, MI",,,,https://www.dropbox.com/s/jm9uarmiuq6x1fh/m0060.jpg?dl=0,
m0061,DETROIT IS A BLACK WOMAN,NDUBISI OKOYE,9/22/2017,"7115 West 8 Mile Road, Detroit, MI",,,2,https://www.dropbox.com/s/4ghx6ordrw5q4mx/m0061.jpg?dl=0,
m0062,,"RSK] , [ THE YOK] , [ SHERYO] , [ ] , [ PHYBR",9/22/2014,"1201 Trombly, Detroit, MI",,,,https://www.dropbox.com/s/qraqis398zk85qe/m0062.jpg?dl=0,
m0063,,OUIZI,9/22/2017,"1200 Piquette Ave, Detroit, MI",,,5,https://www.dropbox.com/s/ul0kpcrl59eoyor/m0063.jpg?dl=0,
m0064,,MEGGS,9/22/2014,"6314 Russel Street, Detroit, MI",,,,https://www.dropbox.com/s/28odcbm68km9lp8/m0064.jpg?dl=0,
m0065,,unknown,1/22/2013,"2515 Michigan Avenue, Detroit, MI",,,,https://www.dropbox.com/s/ea8ykpyb3xfiql4/m0065.jpg?dl=0,
m0066,,"OUIZI ] , [ WC BEVAN",10/22/2014,"2556 Michigan Avenue, Detroit, MI",,,,https://www.dropbox.com/s/x9lwgz5dnoh7pai/m0066.jpg?dl=0,
m0066,,DETROITLIVES!,6/22/2011,"2830 Dubois Street, Detroit, MI",,,,,
m0067,,RYAN HERBERHOLZ,8/22/2014,"7432 Brush Street, Detroit, MI",,,,https://www.dropbox.com/s/i2fbv94bvtxbyat/m0067.jpg?dl=0,
m0068,,313INK,1/22/2013,"6402 Woodward, Detroit, MI",,,,https://www.dropbox.com/s/6jxe56c8q7p0wgg/m0068.jpg?dl=0,
m0069,,KATIE CRAIG,1/22/2013,"7332 Oakland, Detroit, MI",,,,https://www.dropbox.com/s/dgqfyticgvqp4nj/m0069.jpg?dl=0,
m0070,,SUMMER IN THE CITY,1/22/2013,"519 East Milwaukee, Detroit, MI",,,,https://www.dropbox.com/s/5n2h6y04cw67iw7/m0070.jpg?dl=0,
m0071,,WC BEVAN,9/22/2017,"6331 Third Street, Detroit, MI",,,5,https://www.dropbox.com/s/13cr44gm9nj43hi/m0071.jpg?dl=0,
m0072,,JOEY SALAMON,1/22/2013,"1801 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/t87qik4p55yo8gr/m0072.jpg?dl=0,
m0073,,BIRDO,1/22/2013,"1800 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/tchuxwkzib34bl6/m0073.jpg?dl=0,
m0074,,ZACH YARRINGTON,10/22/2016,"1842 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/cjg4zfpwf5b8u8k/m0074.jpg?dl=0,
m0075,,MICHAEL OLSZEWSKI,9/22/2017,"4757 Grand River Ave, Detroit, MI",,,6,https://www.dropbox.com/s/rhacg5msrsb63cl/m0075.jpg?dl=0,
m0076,,MICHAEL OLSZEWSKI,11/1/2017,"2200 W Hancock St, Detroit, MI",,,6,https://www.dropbox.com/s/2sh2bu30e916caj/m0076.jpg?dl=0,
